commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
00a8e07393c0780589271f14d301c227192aa429,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
00aeab327e945b01f11a28aa7091731646a7d90c,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
0454f06d09516209304b2080f06e524510376cf4,192,6,3,7,16,178,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
04ca9c8938baf1b9ded1f082b83dc72c8c9a80c5,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
06fb0aed69c5eacd813c84a9a20c9ce5aa2f7428,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
084ac364ac45daa90dba99c1bb886eecf03065df,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
12a41b10585f90e9887f3c75e7d73166b4d0d1ef,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
14d9256108a65470512fa0340ecaf9d8eb5b003a,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
1510e70ee9c9503b30fb039f2cb024a8b7b38356,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
1eee1133bee114077938e9a390c527b80acdf4c3,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
259e20be3b813645b7a983989d61e4b0c1901438,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
25d6d80a6ecd31f0da52c325cd16dbe4a29b7329,192,6,3,7,16,178,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
263811537eb285d14e79d690b89a645256543e4f,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
26e71f5aff68ccac9c7651f6de802af81f720b1d,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
295fdcc3898653104edbf81fa7b14f79ab1e07f6,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
31047f6774a49becf64c5f5be9ffbf997ba11c11,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
35f76b89b67eaa6fccf2ea6edb1e8945adb5ae9c,196,6,3,7,16,182,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
3906e324b917bfaca4d248558383cd9ad4617400,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
39e39cdcb4aa853eca68a6bfc1ab7aecca093259,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
3b0d4de0e5d2304436a2b2b138927de157b5884a,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
3d20616ea73602f32ea30e85be4ab505947131cb,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
3de22701154154dfa519a07fcd545461f3064d1d,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
3e52ce9cd7ca212e3ba3ce4ec25d77b2e2ad4526,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
419764581adaddf828837f545a8d7d5886316650,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
43f40d81b2d444bb89d9513c8d78032209b4fa5c,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
4447add8f0bcfa673e3f266e37bddc5cd4af4009,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
44dfa9f4a456917a9b5af654b16220781ca2754c,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
4ad808d315f7eda8230914ddc88131ad5667c802,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
509c92b451e6fd0d3bf9cdb787f9c0bedca335d4,200,6,3,7,16,186,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
57c94f305c0b0347ed02b11535623a8b375eee5f,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
592c118d321551fe30d37d1a19d6006f51872d00,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
5ca3d3af75f0cdba69b7d61761b3e2e26aa9ad44,196,6,3,7,16,182,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
5df8fb93bb5f514d5ac8fc5968b9d52d08255e7d,196,6,3,7,16,182,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
5fcd9b44a6e70b93d9d8ac9004917544710f581a,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
6097d53589120d545e4822bf4ee70eeeefb0333a,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
617b8219abf1c00cf469325f5a52b91b6d6a0953,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
6557961e7f222050b2caac21ba308e6ecc94dcda,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
69d7eff920fd2ad78bf4c38e2d3b480a9c5d1dda,196,6,3,7,16,182,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
6b4a4dfaa26c14d3071a489e43453917f7b42e30,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
6c3dd68c1b2e7783d15244279959e89fe88ee346,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
6c9dfcafae24711a07391b68e4abe89019662e90,196,6,3,7,16,182,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
70125d421a4ec5e0dae6e04f6592f6c74c1a4df5,196,6,3,7,16,182,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
7146c5765f2accd0cbda1582375174f371e9b94e,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
71ad1d99dd488403fba2a6498a9becbce954d3ef,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
734cd03b9413e65dea392e25c420676dd04f080a,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
738c313fbd4f487ea664fb8ed67f3294ac839ebe,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
76703050e9036606f7ba30c50a48e8f8033cc701,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
78dda1ca3cf7e5acb0a83fca3c218426a638620a,200,6,3,7,16,186,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
79a74a142186834a9ab30ac7a979e74633f254c7,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
